userid,timestamp,x,y
0,1543090278,4.0,15.0
0,1543090279,13.0,6.0
0,1543090280,17.3,3.2
0,1543090281,17.3,3.2
0,1543090282,13.2,15.34
0,1543090283,17.4,21.42
0,1543090284,17.4,21.42
0,1543090285,13.0,6.0
0,1543090286,17.4,21.42
0,1543090287,7.0,15.29
0,1543090288,7.0,15.29
0,1543090289,4.5,1.1
0,1543090290,16.0,15.26
0,1543090291,7.0,15.29
0,1543090292,3.0,21.05
0,1543090293,3.5,6.5
0,1543090294,17.4,21.42
0,1543090295,3.5,6.5
0,1543090296,4.0,15.0
0,1543090297,4.0,15.0
0,1543090298,4.0,15.0
0,1543090299,7.0,15.29
0,1543090300,7.0,15.29
0,1543090301,7.0,15.29
0,1543090302,3.5,6.5
0,1543090303,4.0,15.0
0,1543090304,4.0,15.0
0,1543090305,4.0,15.0
0,1543090306,17.4,21.42
0,1543090307,3.5,6.5
0,1543090308,17.4,21.42
0,1543090309,7.0,15.29
0,1543090310,7.0,15.29
0,1543090311,4.5,1.1
0,1543090312,16.0,15.26
0,1543090313,3.0,21.05
0,1543090314,3.0,21.05
0,1543090315,3.0,21.05
0,1543090316,3.0,21.05
0,1543090317,3.0,21.05
0,1543090318,16.0,15.26
0,1543090319,3.0,21.05
0,1543090320,16.0,15.26
0,1543090321,3.0,21.05
0,1543090322,13.0,6.0
0,1543090784,4.0,15.0
0,1543090785,17.4,21.42
0,1543090786,4.0,15.0
0,1543090787,7.0,15.29
0,1543090788,3.0,21.05
0,1543090789,7.0,15.29
0,1543090790,17.3,3.2
0,1543090791,13.0,6.0
0,1543090792,3.0,21.05
0,1543090793,16.0,15.26
0,1543090794,7.0,15.29
0,1543090795,17.4,21.42
0,1543090796,17.4,21.42
0,1543090797,3.0,21.05
0,1543090798,3.0,21.05
0,1543090799,16.0,15.26
0,1543090800,13.0,6.0
0,1543090801,13.0,6.0
0,1543090802,3.0,21.05
0,1543090803,3.0,21.05
0,1543090804,13.0,6.0
0,1543090805,17.3,3.2
0,1543090806,17.4,21.42
0,1543090807,13.0,6.0
0,1543090808,17.4,21.42
0,1543090809,3.5,6.5
0,1543090810,3.5,6.5
0,1543090811,3.0,21.05
0,1543090812,17.3,3.2
0,1543090813,3.5,6.5
0,1543090814,3.5,6.5
0,1543090815,4.5,1.1
0,1543090816,3.5,6.5
0,1543090817,3.0,21.05
0,1543090818,3.0,21.05
0,1543090819,3.0,21.05
0,1543090820,17.3,3.2
0,1543090821,3.0,21.05
0,1543090822,3.0,21.05
0,1543090823,3.5,6.5
0,1543090922,4.0,15.0
0,1543090923,17.4,21.42
0,1543090924,16.0,15.26
0,1543090925,17.3,3.2
0,1543090926,13.0,6.0
0,1543090927,16.0,15.26
0,1543090928,7.0,15.29
0,1543090929,13.0,6.0
0,1543090930,3.5,6.5
0,1543090931,16.0,15.26
0,1543090932,3.5,6.5
0,1543090933,3.0,21.05
0,1543090934,16.0,15.26
0,1543090935,13.0,6.0
0,1543090936,3.5,6.5
0,1543090937,3.5,6.5
0,1543090938,17.4,21.42
0,1543090939,13.2,15.34
0,1543090940,3.0,21.05
0,1543090941,3.5,6.5
0,1543090942,16.0,15.26
0,1543090943,3.5,6.5
0,1543090944,13.0,6.0
0,1543090945,16.0,15.26
0,1543090946,17.4,21.42
0,1543090947,17.3,3.2
0,1543090948,7.0,15.29
0,1543090949,16.0,15.26
0,1543090950,3.5,6.5
0,1543090951,17.4,21.42
0,1543090952,17.4,21.42
0,1543090953,3.0,21.05
0,1543090954,3.0,21.05
0,1543090955,7.0,15.29
0,1543090956,3.5,6.5
0,1543090957,7.0,15.29
0,1543090958,7.0,15.29
0,1543090959,7.0,15.29
0,1543090960,16.0,15.26
0,1543090961,3.5,6.5
0,1543090962,3.5,6.5
0,1543090963,4.0,15.0
0,1543090964,7.0,15.29
0,1543090965,3.5,6.5
0,1543090966,3.5,6.5
0,1543090967,3.5,6.5
0,1543090968,3.0,21.05
0,1543090969,17.4,21.42
0,1543090970,3.0,21.05
0,1543090971,3.5,6.5
0,1543090972,3.0,21.05
0,1543090973,4.0,15.0
0,1543090974,7.0,15.29
0,1543090975,7.0,15.29
0,1543090976,7.0,15.29
0,1543090977,17.3,3.2
0,1543090978,17.3,3.2
0,1543090979,7.0,15.29
0,1543090980,3.5,6.5
0,1543090981,3.5,6.5
0,1543090982,3.5,6.5
0,1543090983,4.0,15.0
0,1543090984,4.0,15.0
0,1543090985,17.3,3.2
0,1543090986,7.0,15.29
0,1543090987,7.0,15.29
0,1543090988,7.0,15.29
0,1543090989,3.0,21.05
0,1543090990,4.0,15.0
0,1543090991,3.5,6.5
0,1543090992,17.3,3.2
0,1543090993,4.5,1.1
0,1543090994,4.0,15.0
0,1543090995,3.5,6.5
0,1543090996,13.0,6.0
0,1543090997,13.0,6.0
0,1543090998,17.3,3.2
0,1543090999,17.4,21.42
0,1543091000,17.4,21.42
0,1543091001,16.0,15.26
0,1543091002,7.0,15.29
0,1543091003,17.3,3.2
0,1543091004,17.3,3.2
0,1543091005,13.0,6.0
0,1543091006,17.3,3.2
0,1543091007,17.3,3.2
0,1543091008,13.0,6.0
0,1543091009,13.0,6.0
0,1543091010,16.0,15.26
0,1543091011,13.0,6.0
0,1543091012,16.0,15.26
0,1543091013,17.3,3.2
0,1543091014,13.2,15.34
0,1543091015,10.0,15.31
0,1543091016,16.0,15.26
0,1543091017,16.0,15.26
0,1543091018,3.0,21.05
0,1543091019,17.4,21.42
0,1543091020,17.4,21.42
0,1543091021,17.4,21.42
0,1543091022,17.4,21.42
0,1543091023,16.0,15.26
0,1543091024,3.0,21.05
0,1543091025,13.2,15.34
0,1543091026,7.0,15.29
0,1543091027,17.3,3.2
0,1543091028,17.3,3.2
0,1543091029,13.0,6.0
0,1543091030,4.0,15.0
0,1543091031,13.0,6.0
0,1543091032,13.0,6.0
0,1543091033,4.0,15.0
0,1543091034,3.0,21.05
0,1543091035,13.0,6.0
0,1543091036,7.0,15.29
0,1543091131,13.2,15.34
0,1543091132,17.3,3.2
0,1543091133,13.2,15.34
0,1543091134,4.0,15.0
0,1543091135,3.5,6.5
0,1543091136,17.4,21.42
0,1543091137,4.0,15.0
0,1543091138,17.4,21.42
0,1543091139,13.0,6.0
0,1543091140,17.4,21.42
0,1543091141,7.0,15.29
0,1543091142,7.0,15.29
0,1543091143,7.0,15.29
0,1543091144,3.0,21.05
0,1543091145,3.0,21.05
0,1543091146,7.0,15.29
0,1543091147,3.5,6.5
0,1543091148,3.0,21.05
0,1543091149,3.5,6.5
0,1543091150,3.0,21.05
0,1543091151,3.5,6.5
0,1543091152,3.0,21.05
0,1543091153,3.5,6.5
0,1543091154,7.0,15.29
0,1543091155,7.0,15.29
0,1543091156,4.0,15.0
0,1543091157,17.4,21.42
0,1543091158,7.0,15.29
0,1543091159,17.3,3.2
0,1543091160,17.3,3.2
0,1543091161,3.5,6.5
0,1543091162,4.0,15.0
0,1543091163,3.0,21.05
0,1543091164,4.5,1.1
0,1543091165,3.0,21.05
0,1543091166,4.0,15.0
0,1543091167,3.5,6.5
0,1543091168,3.5,6.5
0,1543091169,17.4,21.42
0,1543091170,13.0,6.0
0,1543091171,13.0,6.0
0,1543091172,3.0,21.05
0,1543091173,3.5,6.5
0,1543091174,4.5,1.1
0,1543091175,4.5,1.1
0,1543091176,7.0,15.29
0,1543091177,3.5,6.5
0,1543091178,4.5,1.1
0,1543091179,7.0,15.29
0,1543091180,3.5,6.5
0,1543091181,3.5,6.5
0,1543091182,4.0,15.0
0,1543091183,13.0,6.0
0,1543091184,4.0,15.0
0,1543091185,3.0,21.05
0,1543091186,13.0,6.0
0,1543091187,3.0,21.05
0,1543091188,17.3,3.2
0,1543091189,17.3,3.2
0,1543091190,3.0,21.05
0,1543091191,3.0,21.05
0,1543091192,3.5,6.5
0,1543091193,3.5,6.5
0,1543091194,13.0,6.0
0,1543091195,4.5,1.1
0,1543091196,13.0,6.0
0,1543091197,17.3,3.2
0,1543091198,3.5,6.5
0,1543091199,4.5,1.1
0,1543091200,4.5,1.1
0,1543091201,17.4,21.42
0,1543091202,17.4,21.42
0,1543091203,3.0,21.05
0,1543091204,3.0,21.05
0,1543091205,17.3,3.2
0,1543091206,13.2,15.34
0,1543091207,13.0,6.0
0,1543091208,17.3,3.2
0,1543091209,4.5,1.1
0,1543091210,3.5,6.5
0,1543091211,13.0,6.0
0,1543091212,4.5,1.1
0,1543091213,3.5,6.5
0,1543091214,3.5,6.5
0,1543091215,3.5,6.5
0,1543091216,13.0,6.0
0,1543091217,13.0,6.0
0,1543091218,17.4,21.42
0,1543091219,13.0,6.0
0,1543091220,3.0,21.05
0,1543091221,13.0,6.0
0,1543091222,16.0,15.26
0,1543091275,3.5,6.5
0,1543091276,13.0,6.0
0,1543091277,16.0,15.26
0,1543091278,17.3,3.2
0,1543091279,3.0,21.05
0,1543091280,4.0,15.0
0,1543091281,3.0,21.05
0,1543091282,16.0,15.26
0,1543091283,7.0,15.29
0,1543091284,16.0,15.26
0,1543091285,3.5,6.5
0,1543091286,7.0,15.29
0,1543091287,17.4,21.42
0,1543091288,17.4,21.42
0,1543091289,3.5,6.5
0,1543091290,17.4,21.42
0,1543091291,7.0,15.29
0,1543091292,17.4,21.42
0,1543091293,17.3,3.2
0,1543091294,7.0,15.29
0,1543091295,3.5,6.5
0,1543091296,4.0,15.0
0,1543091297,4.0,15.0
0,1543091298,7.0,15.29
0,1543091299,4.0,15.0
0,1543091300,3.0,21.05
0,1543091301,4.0,15.0
0,1543091302,3.0,21.05
0,1543091303,3.5,6.5
0,1543091304,3.5,6.5
0,1543091305,3.5,6.5
0,1543091306,3.5,6.5
0,1543091307,10.0,15.31
0,1543091308,4.0,15.0
0,1543091309,7.0,15.29
0,1543091310,7.0,15.29
0,1543091311,3.0,21.05
0,1543091312,3.5,6.5
0,1543091313,3.5,6.5
0,1543091314,4.0,15.0
0,1543091315,17.4,21.42
0,1543091316,4.0,15.0
0,1543091317,17.4,21.42
0,1543091318,7.0,15.29
0,1543091319,17.4,21.42
0,1543091320,17.3,3.2
0,1543091321,3.0,21.05
0,1543091322,3.0,21.05
0,1543091323,3.5,6.5
0,1543091324,17.3,3.2
0,1543091325,17.3,3.2
0,1543091326,17.3,3.2
0,1543091327,3.0,21.05
0,1543091328,3.0,21.05
0,1543091329,17.3,3.2
0,1543091330,17.3,3.2
0,1543091331,17.3,3.2
0,1543091332,3.0,21.05
0,1543091333,3.5,6.5
0,1543091334,3.0,21.05
0,1543091335,3.0,21.05
0,1543091336,3.0,21.05
0,1543091337,17.4,21.42
0,1543091338,7.0,15.29
