userid,timestamp,pos
0,1543020253,"(4, 1)"
0,1543020254,"(3, 6)"
0,1543020255,"(3, 21)"
0,1543020256,"(17, 3)"
0,1543020257,"(7, 15)"
0,1543020258,"(16, 15)"
0,1543020259,"(10, 15)"
0,1543020260,"(16, 15)"
0,1543020261,"(3, 6)"
0,1543020262,"(13, 6)"
0,1543020263,"(10, 15)"
0,1543020264,"(13, 6)"
0,1543020265,"(13, 6)"
0,1543020266,"(3, 6)"
0,1543020267,"(3, 21)"
0,1543020268,"(13, 6)"
0,1543020269,"(4, 1)"
0,1543020270,"(17, 21)"
0,1543020271,"(3, 21)"
0,1543020272,"(13, 6)"
0,1543020273,"(3, 6)"
0,1543020274,"(17, 21)"
0,1543020275,"(16, 15)"
0,1543020276,"(17, 3)"
0,1543020277,"(17, 3)"
0,1543020278,"(7, 15)"
0,1543020279,"(4, 15)"
0,1543020280,"(17, 21)"
0,1543020281,"(3, 6)"
0,1543020282,"(3, 21)"
0,1543020283,"(3, 6)"
0,1543020284,"(3, 21)"
0,1543020285,"(10, 15)"
0,1543020286,"(4, 1)"
0,1543020287,"(13, 6)"
0,1543020288,"(4, 1)"
0,1543020289,"(3, 6)"
0,1543020290,"(10, 15)"
0,1543020291,"(3, 21)"
0,1543020292,"(3, 6)"
0,1543020293,"(4, 15)"
0,1543020294,"(4, 1)"
0,1543020295,"(13, 6)"
0,1543020296,"(4, 1)"
0,1543020297,"(17, 21)"
0,1543020298,"(17, 3)"
0,1543020299,"(10, 15)"
0,1543020300,"(17, 3)"
0,1543020301,"(3, 6)"
0,1543020302,"(13, 15)"
0,1543020303,"(3, 6)"
0,1543020304,"(3, 21)"
0,1543020305,"(16, 15)"
0,1543020306,"(13, 15)"
0,1543020307,"(17, 3)"
0,1543020308,"(17, 3)"
0,1543020309,"(4, 15)"
0,1543020310,"(4, 1)"
0,1543020311,"(4, 1)"
0,1543020312,"(10, 15)"
0,1543020313,"(3, 21)"
0,1543020314,"(13, 15)"
0,1543020315,"(13, 15)"
0,1543020316,"(13, 15)"
